제목,내용,날짜,추천수,조회수
"현대차·뉴뮤지엄 라이좀, `월드 온 어 와이어`展 서울서 선보여",(서울=연합뉴스) 장하나 기자 = 현대차는 미국 뉴욕에 위치한 현대미술관 뉴뮤지엄의 디지털 아트 기관 라이좀과 공동으로 기획한 '월드 온 어 와이어'전을 현대모터스튜디오 서울과 온라인 전시..,05/07,0,209
3월 3천대에서 4월 76대로…테슬라 판매량 여전히 `들쭉날쭉`,"매 분기 첫 달 인도 물량 감소…한국 물량 배정에서 밀린다는 지적도
 
중국 수입박람회 테슬라 전시장[촬영 차대운]
 
(서울=연합뉴스) 권희원 기자 = 국내에서 ..",05/07,0,446
인천서 달리던 BMW 차량서 화재…엔진룸 불에 타,"BMW 미니쿠퍼 차량서 불[독자 송영훈씨 제공. 재판매 및 DB 금지]
 
(인천=연합뉴스) 김상연 기자 = 6일 오후 4시 27분께 인천시 서구 가정동 한 도로에서 주행 ..",05/07,0,924
"현대차 공장 찾은 송영길 ""차량 반도체 대책 뒷받침""",송영길 대표-김경수 지사 '반가운 주먹 인사'(김해=연합뉴스) 김동민 기자 = 더불어민주당 송영길 대표(오른쪽)가 6일 오전 경남 김해시 진영읍 봉하마을 노무현 전 대통령 묘역 참배 후..,05/07,0,354
기아 전기차 EV6 유럽에도 통했다…사전예약 7천300대,"기아 전용 전기차 'EV6'[기아 제공. 재판매 및 DB 금지] photo@yna.co.kr
 
(서울=연합뉴스) 최평천 기자 = 국내 흥행에 성공한 기아 전용 전기차 EV..",05/06,3,2804
"제네시스, 다음 달 유럽 `상륙`…G80·GV80 판매 개시","독일·영국·스위스 제네시스 스튜디오 개소…고급차 시장 공략
 
제네시스 G80[제네시스 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 현대차의..",05/06,1,1138
4월 수입차 판매 작년보다 11.5% 늘어…누적 10만대 육박,"일부 브랜드 물량 부족으로 3월보다는 감소
베스트셀링 모델은 벤츠 E 250
 
더 뉴 메르세데스-벤츠 E클래스[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 ..",05/06,0,709
"전문가들 ""한국 AI·차량용 반도체 경쟁력, 선도국의 60% 수준""","전경련-반도체디스플레이기술학회 공동 설문조사
(서울=연합뉴스) 김보경 기자 = 반도체 전문가들은 우리나라의 인공지능(AI)과 차량용 반도체 경쟁력이 선진국의 60% 수준에 불과하다고 보는..",05/06,0,391
"현대차, 태양광 가로등·북극 얼음 다시 얼리는 기계제작 돕는다","현대차·UNDP, 지속가능한 미래 위한 '포 투모로우' 프로젝트 론칭 6개월이달부터 일부 솔루션 현실화 추진…다큐로 제작해 9월 UN 총회 기간에 선보여
(서울=연합뉴스) 장하나 기자 =..",05/06,0,311
"만도, 유니티와 VR 기반 자율주행 개발 환경 구축 MOU","만도[만도 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 장하나 기자 = 만도가 실시간 3D 개발 플랫폼 선도 기업 유니티와 '가상현실(VR) 기반 자율주행 개발 환경..",05/06,0,205
"""미세먼지·한파 철벽 방어"" 당진 2곳에 스마트 승강장 설치","당진종합버스터미널 앞에 설치된 스마트 승강장[당진시 제공. 재판매 및 DB 금지]
 
(당진=연합뉴스) 이은파 기자 = 충남 당진시 2곳에 미세먼지, 한파, 자동차 배기가스..",05/06,0,363
"제네시스, 수지 전시관서 차량 인도 세레머니 확대 운영","G90 구매 고객에서 G80·GV80까지 확대
 
제네시스 수지 차량 인도 세레[제네시스 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 제네시..",05/06,0,669
9월 수소모빌리티+쇼에 현대차·포스코 등 국내외 대기업 참가,"프랑스 생고뱅·독일 위첸만 등도 참여…수소 관련 기술 선보여
 
2020 수소모빌리티쇼에 참석한 정의선 현대차그룹 회장[연합뉴스 자료사진]
 
(서울=연합뉴스) 권..",05/06,0,192
[시승기] 합리적 가격에 성능·편의성 다 잡았다…만트럭 `뉴 MAN TGL`,"만트럭버스코리아, 뉴 MAN TG 시리즈 3종 출시
 
뉴 MAN TGL
[촬영 권희원]
 
(서울=연합뉴스) 권희원 기자 = 신종 코로나바이러스 감염증(코로나1..",05/06,0,724
경기 수소생태계 지원시설 하반기부터 잇달아 문연다,"평택 수소생산기지[경기도 제공. 재판매 및 DB 금지]
 
(수원=연합뉴스) 이우성 기자 = 경기도가 수소산업을 신성장 동력으로 발전시키기 위해 추진 중인 수소융합 테마도시..",05/06,0,195
"`20년만의 풀체인지` 만트럭버스, 뉴 MAN TG 시리즈 3종 출시","대형 트랙터 TGX 등 16개 모델운행 편의성·연비 개선 위한 신기술 적용
 
만트럭버스코리아, 뉴 MAN TG 시리즈 3종 출시[만트럭버스코리아 제공. 재판매 및 DB 금지]..",05/04,0,1329
"기아, `연비 18㎞/ℓ` K8 하이브리드 출시…3천698만원","기아, 'K8 하이브리드' 출시(서울=연합뉴스) 기아가 4일 K8 하이브리드를 출시했다고 밝혔다. K8 하이브리드는 하이브리드 전용 17인치 전면가공 휠과 후면부 하이브리드 엠블럼, 하..",05/04,2,4819
"벤츠, 마이바흐 S-클래스 국내 출시…2억6천60만원","더 뉴 메르세데스-마이바흐 S-클래스[벤츠코리아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 메르세데스-벤츠코리아는 최상위 모델 '더 뉴 메르세데스-..",05/04,0,2786
"반도체 부족에…현대차 ""옵션 선택 안하면 아이오닉5 빨리 출고""","기아 K8·카니발은 일부 기본사양 빼면 가격 내리는 '마이너스 옵션' 도입
 
현대차 아이오닉 5[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 = 기아에 ..",05/04,0,1513
"쌍용차, `2022 티볼리` 출시…1천689만원부터",쌍용차 '2022 티볼리' 출시(서울=연합뉴스) 쌍용자동차가 R-Plus 블랙&화이트 스페셜 모델 등 2022 티볼리(에어 포함)를 출시한다고 4일 밝혔다. 사진은 티볼리 R-..,05/04,6,3492
"현대차, 1분기 전세계 수소차 판매 도요타에 밀려 2위","현대차그룹 수소차 (PG)[정연주 제작] 일러스트
 
(서울=연합뉴스) 최평천 기자 = 지난해 전세계 수소차 시장에서 압도적 1위를 차지했던 현대차[005380]가 올해 1..",05/04,0,453
그린벨트 택시버스 차고지에 수소·전기 충전소 설치 허용,"(서울=연합뉴스) 윤종석 기자 = 앞으로 개발제한구역(Green Belt: 이하 GB)에서 수소차·전기차 충전소 설치가 확대된다.
 
4일 국토교통부에 따르면 이 같은 내용을 ..",05/04,0,257
"현대차·기아, 4월 미국에서 15만대 판매…2개월 연속 역대 최대","작년 동월 대비 127% 증가…코로나 기저 효과현대차 8만817대·기아 7만177대 판매…투싼·K3 '베스트셀링카'

2022 투싼 N 라인[현대차 미국판매법인 제공, 재판매 및 DB ..",05/04,0,364
`쌍용차 조기 정상화` 범시민운동본부 발대식…서명운동 시작,"(평택=연합뉴스) 최해민 기자 = 경기 평택지역 시민사회단체로 구성된 '쌍용차 조기 정상화를 위한 범시민운동본부'는 4일 오전 평택역 앞에서 발대식을 하고 본격적인 활동에 들어갔다.
&n..",05/04,0,258
르노삼성차 노사 강대강 대치…노조 파업에 회사 직장폐쇄,"지난해 임단협 본교섭 입장차…노조 4일 8시간 전면파업사측 ""조업희망자 파악 생산라인 가동""
 
르노삼성차 노조 4월 파업 집회[르노삼성차 노조 제공]
 
(부산=..",05/04,3,929
9월부터 수소버스에 연료보조금 지급된다,"여객자동차 운수사업법 개정안 입법예고시내‧시외‧전세 수소버스 운송사업자 대상수소 1kg당 3,500원...전기차 수준 목표
 
국토부가 오는 9월부터 사업..",05/04,1,242
현대차·기아 4월 판매 늘었는데…외국계 완성차 3사 `마이너스`,"5개사 판매 65만3천대로 69.5% 증가…국내 그랜저·해외 스포티지국내 판매 줄고 해외 늘어…외국계 3사 부진 이어져
 
[그래픽] 국내 완성차 5개사 판매 실적
(서울=연..",05/04,1,310
"인천항, 수출용 중고차 운반선 못 구해 `아우성`","항만 사용료 감면 등 유인책에도 선복량 부족 장기화
 
인천 내항서 수출 기다리는 차량들[연합뉴스 자료사진]
 
(인천=연합뉴스) 신민재 기자 = 국내 최대 중고차..",05/04,0,439
`반도체 수급 차질` 현대차 울산 포터 생산라인 6∼7일 휴업,"현대차 울산공장 로고[현대자동차 제공]
 
(울산=연합뉴스) 김근주 기자 = 현대자동차 울산공장 포터 생산라인이 반도체 수급 문제로 오는 6∼7일 휴업한다.
 
..",05/04,0,245
"정의선, 탈플라스틱 캠페인 동참…""전기차에 친환경 소재 활용""","""플라스틱 사용 줄이고 업사이클링 제품 사용 늘리고"" 약속
 
정의선 현대차그룹 회장[현대차그룹 페이스북 캡처. 재판매 및 DB 금지]
 
(서울=연합뉴스) 최평천..",05/04,0,254
"기아, 지난달 미국에서 역대 최다 판매…포르테·K5 `돌풍`","'2021 K5'[기아 제공. 재판매 및 DB 금지] photo@yna.co.kr
 
(서울=연합뉴스) 최평천 기자 = 기아가 지난달 미국에서 월간 판매 최다 기록을 세웠다..",05/04,1,617
K배터리 1분기 점유율 31％…중국기업 약진 속에 작년보다 감소,"지난해 점유율 37％에서 하락…""중국 기업 비중 더 커질 가능성""
 
2021년 1분기 전기차용 배터리 사용량 순위[SNE리서치 제공. DB 및 재판매 금지]
 
..",05/04,0,207
지프 콤팩트 SUV 2021년형 `올 뉴 컴패스` 출시…4천290만원,"지프 2021년형 올 뉴 컴패스 출시[피아트크라이슬러코리아 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 피아트크라이슬러(FCA) 코리아는 지프의 콤..",05/04,0,629
"랜드로버코리아, 뉴 디스커버리 사전계약 시작…8천680만원부터","랜드로버 뉴 디스커버리[재규어랜드로버 코리아 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 재규어랜드로버코리아는 다목적 7인승 패밀리 스포츠유틸리티차(..",05/04,0,708
"볼보차 ""모든 자동차부품, 재사용 가능케 설계·제조""","""비용 절감하고 이산화탄소 배출도 감축""
 
볼보의 전기차 배터리를 이용한 전력 공급[볼보코리아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 =..",05/04,0,265
"효성 차량용 에어백 원단, 친환경 의류로 재탄생한다","효성첨단소재, 업사이클링 패션 브랜드 '강혁'에 에어백 원단 지원
 
효성 에어백 원단 적용한 '강혁' 콜렉션[효성 제공. DB 및 재판매 금지]
 
(서울=연합뉴..",05/04,0,212
"교통안전공단, 오토바이 대상 `찾아가는 검사 서비스` 운영","이륜차 검사대상 확대[한국교통안전공단 제공]
 
(서울=연합뉴스) 김기훈 기자 = 한국교통안전공단은 3일부터 중·소형 이륜자동차(오토바이)를 대상으로 '찾아가..",05/04,0,226
"토요타코리아, 2022년형 캠리 사전계약…하이브리드도 출시","토요타코리아, 2022년형 캠리 사전계약[한국토요타자동차 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 토요타코리아는 전국 도요타 공식 딜러 전시장에서..",05/04,0,656
"현대차 아반떼, 캐나다 오토가이드 선정 `2021 올해의 차`","현대차 신형 아반떼(엘란트라)[연합뉴스 자료사진]
 
(서울=연합뉴스) 권희원 기자 = 현대차 아반떼(현지명 엘란트라)가 캐나다 자동차 전문지 오토가이드가 주관한 '2021..",04/30,1,3700
"폭스바겐 ""2050년까지 탄소중립 실현…전기차 판매 확대""","고성능 전기차 'ID.4 GTX' 공개…1회 충전 때 최대 480㎞ 주행
 
ID.4 GTX[폭스바겐코리아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평..",04/30,0,843
"GM, 북미부터 볼트 EV 리콜 추가 조치…""100% 충전할 수 있게""","볼트 EV[한국GM 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 제너럴모터스(GM)는 지난해 11월 리콜한 쉐보레 볼트 전기차(EV) 모델의 배터리를..",04/30,0,915
"자동차연구원 “국내 친환경 상용차, 수출용 모델 필요하다”","| 한국자동차연구원 산업동향 보고서세계 친환경 상용차 시장 지속 성장 중해외 시장 선점 위해 수출용 모델 필요
 

지난해 7월 현대자동차가 세계 최초로 양산해 스위스에 수출..",04/30,0,527
"경기도, 포항공대 등 4개대와 판교서 자율주행 공동 연구","(수원=연합뉴스) 김경태 기자 = 경기도와 차세대융합기술연구원은 30일 포항공대·경희대·성균관대·아주대 등 4개 대학교와 '자율주행연구 선도를 위한 공공데이터 활용' 업무협약을 체결했다.
..",04/30,0,237
고객 차량 휠 훼손뒤 수리비 챙긴 타이어전문점 업주 구속,"경찰, 휠 고의훼손 타이어 전문점타이어 전문점에서 고객 자동차의 휠을 고의로 훼손하는 모습. 2020.10.28 [보배드림 게시물 캡처. 재판매 및 DB 금지]
&nbs..",04/30,19,2517
"한국타이어, CDP 기후변화대응 평가서 `탄소경영 아너스` 선정","한국타이어, CDP 기후변화대응 평가서 탄소경영 우수기업 선정[한국타이어앤테크놀로지 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 한국타이어앤테크놀로지..",04/30,0,199
"SK이노·SK렌터카, `안전하게 오래 쓰는 배터리 솔루션` 협업","배터리 상태 실시간 파악해 최적 상태로 관리 시스템 제작
(서울=연합뉴스) 김영신 기자 = SK이노베이션과 SK렌터카는 안전하게 오래 쓰는 전기차 배터리 솔루션을 만들기 위해 협업한다고 ..",04/30,0,220
"LG에너지솔루션, 롯데렌터카와 전기차 배터리 서비스 협력","LG에너지솔루션[LG에너지솔루션 제공]
 
(서울=연합뉴스) 김철선 기자 = LG에너지솔루션이 롯데렌터카를 보유한 롯데렌탈과 전기차 서비스형 배터리 사업에 협력하기로 했다...",04/30,0,208
"이베코 ‘뉴데일리’, 작년 한 해 120% 판매 증가","캠핑 수요 확대로 작년 판매량 123대 기록안전성 및 다재다능한 활용성에 캠핑카로 관심↑
 

이베코 뉴 데일리 싱글 섀시 캡이탈리아 상용차 브랜드 이베코(IVECO)의 한국..",04/30,0,734
"한국전기차협동조합, 2021 신재생에너지 포럼 개최","배터리 재사용 및 산업화 방안 논의
 

 
한국전기차협동조합이 지난 27일 강원지역 배터리 재사용 기술 및 산업 조성 방안을 논의하기 위해 ‘2021 신재생에너지..",04/30,0,205
"인천시, 2030년까지 수소버스 1,800대 보급한다","인천시는 지난 28일 수소경제 활성화를 위해 ‘인천형 수소 생태계 구축 전략’을 수립했다고 밝혔다.
 
인천시는 수소 생태계 구축을 위해 ▲수소생산 클러스터 ..",04/30,0,250
렉서스 하이브리드 세단 `ES 300h` 국내 누적 판매 5만대,"ES 300h 국내 판매 5만대[렉서스코리아 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 렉서스코리아는 프리미엄 하이브리드 세단 'ES 300h'가 ..",04/30,2,952
"기아, 전기차 EV6에 금호·넥센타이어 장착한다","기아 EV6기아 전용 전기차 'EV6'. 2021.4.19 [기아 제공. 재판매 및 DB 금지] photo@yna.co.kr
 
(서울=연합뉴스) 최평천 기자 = 기아가 첫..",04/30,0,415
광주글로벌모터스 공장 준공식…1호 상생형 지역 일자리 `시동`,"문재인 대통령 ""사회적 대타협으로 탄생시킨 대한민국의 미래""연봉 외 '사회적 임금' 지원…9월 차량 양산 돌입
 
준공한 광주글로벌모터스 공장(광주=연합뉴스) 이진욱 기자 = ..",04/30,0,324
"평택 경기도의원 6명 ""정부, 쌍용차 정상화에 적극 나서야""","(수원=연합뉴스) 이우성 기자 = 평택지역을 지역구로 둔 경기도의회 의원들이 법정관리 졸업 10년 만에 기업회생 절차에 돌입한 쌍용차의 정상화를 위한 근본 대책 마련을 정부에 촉구했다.
..",04/29,0,455
현대차 아이오닉 5 출고 시작…보조금 소진 우려는 `여전`,"구동모터 수급 정상화 아직…반도체 수급난도 심화출고 지연으로 보조금 못받는 물량 발생할 수도
 
현대차 아이오닉 5[연합뉴스 자료사진]
 
(서울=연합뉴스) 권..",04/29,0,1534
벤츠 E250 에어백 결함…혼다·BMW 등 7개사 1만3천여대 리콜,"자동차 리콜(일러스트)제작 김민준
 
(서울=연합뉴스) 김기훈 기자 = 국토교통부는 메르세데스-벤츠코리아, 혼다코리아, 비엠더블유코리아, 테슬라코리아, 만트럭버스코리아, 한..",04/29,0,868
차량용 반도체 수급난에 부산 자동차 부품업계도 연쇄 타격,"완성차 가동중단 영향…장기화하면 대책 없어 업황 회복 악재
 
반도체 수급난 멈춰선 현대차 아산공장 [연합뉴스 자료사진]13일 가동이 중단된 현대차 아산공장 모습. 2021.4..",04/29,0,351
불나면 소방관들 애먹이는 전기차…`수조`로 첫 진화실험,"배터리 완전 진화에 최대 24시간…""전기차 시대에 맞춰 대응능력 향상""
 
전기차 화재 진압 실험 과정[일산소방서 제공. 재판매 및 DB 금지]
 
(고양=연합뉴스..",04/29,3,1828
"한국타이어, 자동차문화 브랜드 피치스와 복합문화공간 개관","자동차 복합문화공간 '도원'[한국타이어앤테크놀로지 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기자 = 한국타이어앤테크놀로지가 자동차 기반 라이프스타일 및 패..",04/29,0,316
"뉴 아록스 덤프, ‘퍼팩트 체인지 3’로 무장한다",5월 출시 뉴 아록스 덤프 ‘퍼펙트 체인지 3’ 캠페인①기존 고객_ 주요 동력부품 보증 2년 추가 연장②신차 고객_ 덤프 혁신과 안심 케어 서비스 제공③재구매 고객_ 특별 할인과 3년 소모..,04/29,0,638
"SK이노·기아, 전기차용 배터리 재활용 협력사업 본격화","SK이노베이션 수산화리튬 추출 기술[SK이노베이션 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 김철선 기자 = SK이노베이션과 기아가 사용 후 배터리 재활용 기술을 ..",04/29,0,272
[팩트체크] 견인차 줄지어 역주행해도 형사처벌 못 한다?,"경부고속도로 견인차 4대 역주행에 시민들 ""긴급차라도 엄벌해야""견인차는 도로교통법상 '긴급차' 아냐…일반자동차처럼 도로 역주행 금지줄지어 역주행하면 공동위험행위죄로 처벌…면허취소 또는 벌점..",04/29,6,1290
"볼보트럭, 총중량 44톤 대형 전기트럭 3종 FM·FH·FMX 영상 공개","최대 주행거리 300km…내년 하반기 양산 예정
 
 
볼보트럭은 지난 20일 자사 유튜브 계정으로 볼보 대형 전기트럭 3종 FM·FH·FMX 일렉트릭을 공개했다.
..",04/29,0,447
광주글로벌모터스 건설 진두지휘…현대엔지니어링 조철호 소장,"(광주=연합뉴스) 송형일 기자 = ""국내에서 23년 만에 들어서는 완성 자동차 공장을 제 손으로 지었다는 것은 평생 기억에 남을 자랑이고 보람입니다""
 
광주글로벌모터스 공장 ..",04/29,0,286
"전국 최초 노사 상생형 기업, 광주글로벌모터스 29일 준공","23년 만에 국내 건설 자동차 공장…9월 양산체제·연산 10만대 생산 목표
(광주=연합뉴스) 송형일 기자 = 전국 최초 상생형 일자리 기업인 광주글로벌모터스(GGM)가 착공 1년 4개월 ..",04/29,0,324
현대차 고성능 SUV `코나 N` 공개…제로백 5.5초·최고 240㎞/h,"올해 하반기 국내 출시…고성능 N 브랜드 전기차도 준비
  
현대차 코나 N[현대차 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 최평천 기자 = 현대차가 고..",04/28,1,2400
"벤츠, 더 고급스럽고 안전해진 `더 뉴 S-클래스` 국내 출시","S-클래스 7세대 완전변경 모델
길어진 휠베이스에 디지털 라이트 등 새로운 디자인 요소 추가
 
벤츠 더 뉴 S-클래스[벤츠코리아 제공. 재판매 및 DB 금지]
 ..",04/28,3,3017
도로 청소 늘리니 미세먼지 평균 35.7% 줄어,"계절관리제 집중관리도로 운영으로 도로 청소 강화
 

고압살수차 [환경부 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 김은경 기자 = 환경부는 제2차 미세..",04/28,1,733
"폭스바겐, 고성능 세단 `아테온 R` 공개…제로백 4.9초","폭스바겐, '아테온 R & 아테온 R 슈팅브레이크' 공개(서울=연합뉴스) 폭스바겐이 28일 플래그십 세단 아테온의 고성능 모델 '아테온 R'과 '아테온 R 슈팅 브레이크'를 새롭..",04/28,0,1615
"한화시스템, 자율주행 핵심기술 `나이트비전` 개발 박차","'자율주행차용 카메라' 개발 국책과제 우선협상대상자 선정
 
한화시스템 열화상 엔진모듈 '퀀텀레드[한화시스템 제공. DB 및 재판매 금지]
 
(서울=연합뉴스) 김..",04/28,0,443
"현대로템, 이집트 철도 신호 현대화 사업 수주…1천225억원 규모","현대로템, 이집트 철도 신호 현대화 사업 수주(서울=연합뉴스) 현대로템이 28일 이집트 철도청과 나일강 상류의 주요 도시 나그 함마디~룩소르 구간에 대한 철도 신호 현대화 사업을 낙찰받..",04/28,0,351
"""수소차 3대 중 1대가 한국서 운행되는데…충전 인프라는 부족""","한국자동차산업협회 ""수소 충전기 1기당 수소차 180대""
 
현대자동차 수소차 (PG)[정연주 제작] 일러스트
 
(서울=연합뉴스) 최평천 기자 = 전세계 수소차 ..",04/28,0,187
"기아·삼성전기, CDP 기후변화대응 평가 최고등급","현대자동차 - 기아자동차[(위쪽부터) 현대자동차, 기아자동차 홈페이지 캡처. 재판매 및 DB 금지]
 
(서울=연합뉴스) 윤보람 최평천 김철선 기자 = 기아는 CDP(Car..",04/28,0,172
"""차량 반도체 국산화율 2%, 차·반도체 협력으로 국산화 나서야""","전경련 'K모빌리티 글로벌 부품수급 동향 및 대응방향 세미나'
(서울=연합뉴스) 김보경 기자 = 자동차와 반도체 업계 간 협력으로 최근 부족 사태를 빚고 있는 차량용 반도체 국산화율을 높..",04/28,0,219
경영난에 반도체 부족·노조 파업까지…외국계 車 3사 `골머리`,"생사 기로 놓인 쌍용차…임단협 못 끝낸 르노삼성
1분기 생산량 작년보다 10% 줄어…17년만 최소
 
쌍용차 10년만에 회생절차…""M&A 서두를 것"" (CG)[연합뉴스..",04/28,0,307
"메르세데스-벤츠, 佛 노르망디에 전기버스 10대 첫 공급","메르세데스-벤츠가 프랑스 노르망디 루앙에 전기버스 10대를 공급했다. 노르망디에서 전기버스가 운행되는 것은 이번이 처음이다.
 
이번에 공급되는 전기버스는 e..",04/28,0,250
"쌍용차, 본격적인 조직 개편 돌입…임원 수 38% 축소","전체 조직도 23% 줄여…임원 급여도 삭감
 
쌍용차 10년만에 회생절차…""M&A 서두를 것"" (CG)[연합뉴스TV 제공]
 
(서울=연합뉴스) 권희원 기자..",04/28,0,301
충주시·우정에이치앤씨 등 2개사 335억원 투자협약,"(충주=연합뉴스) 박재천 기자 = 충북 충주시는 27일 우정에이치앤씨, 애강과 335억원 규모의 투자협약을 했다.
 
충남의 소방 관련 종합컨설팅업체인 우정에이치앤씨는 친환경자..",04/28,0,132
차량 반도체 회사 NXP 1분기 `깜짝 실적`…삼성전자가 인수할까,"반도체 품귀에 작년 대비 매출 27% 영업이익 58% 늘어삼성전자 NXP 인수설 급부상…업계 ""인수대금 너무 비싸"" 지적도
(서울=연합뉴스) 서미숙 기자 = 최근 삼성전자의 인수합병(MA..",04/28,0,334
전기차 완속충전기 14시간 이상 점유시 과태료 10만원,"'친환경차법 시행령 개정안' 통과…공공기관 100% 친환경차 구매
 
전기차. 친환경자동차 (PG)[김토일 제작] 일러스트
 
(서울=연합뉴스) 윤보람 기자 = 앞..",04/27,5,2030
다가오는 5월 `반도체 보릿고개`…車업계 위기감 고조,"한국GM 부평1·2공장 재가동했지만 가동률 50%현대차·기아, 1분기 컨퍼런스 콜에서 5월 위기 예고
 
현대차 울산1공장[연합뉴스 자료사진]
 
(서울=연합뉴스)..",04/27,0,555
"국내 출시 앞둔 `뉴 MAN TG 시리즈`, 유럽서 공개된 사양은?","■ 유럽 모델 참고해 스펙 정리차량총중량 7.5~41톤...최고출력 640마력다이얼 조작시스템 통해 편의성‧안전성↑GPS로 연비개선...측면 사각지대도 커버
 
..",04/27,0,775
"한국앤컴퍼니, 테슬라에 전기차 보조배터리 공급","롯데백화점, 테슬라 Model Y 최초 공개[롯데쇼핑 제공. 재판매 및 DB 금지] photo@yna.co.kr
 
(서울=연합뉴스) 최평천 기자 = 한국타이어앤테크놀로지 ..",04/27,0,619
"대구 자동차부품기업 70％ ""반도체 부족 영향""","반도체 수급난에 멈춰 선 자동차공장[연합뉴스 자료사진]
 
(대구=연합뉴스) 김용민 기자 = 대구지역 자동차부품 기업 중 약 70％는 반도체 부족 영향을 받는 것으로 ..",04/27,0,307
"미래차 전자기파 인증시스템, 전남 영광에 구축","2023년까지 200억원 들여 대마전기차 산업단지에 설립
 

전남 영광 대마산단[연합뉴스 자료사진]
 
(영광=연합뉴스) 여운창 기자 = 국내 첫 미래차 전자기..",04/27,0,182
"완주군, `관용 수소전기버스` 도입…""전국 지자체 중 최초""","완주 수소 충전소[완주군 제공. 재판매 및 DB금지]
 
(완주=연합뉴스) 임채두 기자 = 전북 완주군이 수소전기버스를 관용으로 사용한다.
 
완주군은 27일 ..",04/27,0,231
"특장차 기업 평강B.I.M, 새만금에 대규모 자동차 도장공장 건립","새만금 산업단지[연합뉴스TV 제공]
 
(군산=연합뉴스) 백도인 기자 = 특장차 전문 제조기업인 평강B.I.M이 새만금에 대규모 자동차 도장 설비를 구축하기로 하고 2..",04/27,0,229
"익산시, 친환경 수소차 180대 보급…대당 3천650만원 지원","수소 자동차[연합뉴스 자료사진]
 
(익산=연합뉴스) 백도인 기자 = 전북 익산시는 올해 65억원을 들여 친환경 수소자동차 180대를 보급한다고 27일 밝혔다.
&n..",04/27,0,387
"평택지역 시민단체들, 쌍용차 정상화 위해 힘 모은다","평택시 30개 시민단체, 범시민 운동본부 발족
 
쌍용자동차 조기 정상화를 위한 범시민 운동본부 발족[쌍용자동차 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스)..",04/27,0,235
"금호타이어, 독일 `iF 디자인 어워드 2021` 본상 수상",(광주=연합뉴스) 송형일 기자 = 금호타이어는 독일 iF 디자인 어워드 2021(International Forum Design Award 2021)' 운송기기 부문에서 2개 제품이 본상을..,04/27,0,373
"현대차, 다음달 2021년형 그랜저 출시…기아 K8과 `맞대결` 예고","새 모델명 퀴즈 이벤트로 티저 마케팅…스페셜 트림 '그랜저 르블랑' 추가 예고
(서울=연합뉴스) 장하나 기자 = 현대차가 다음 달 베스트셀링 모델인 그랜저의 2021년형 모델을 출시하고 ..",04/26,0,4181
"폭스바겐 순수 전기 SUV ID.4, 유럽 안전성 평가 최고등급","폭스바겐 ID.4[폭스바겐 제공. 재판매 및 DB 금지] photo@yna.co.kr
 
(서울=연합뉴스) 최평천 기자 = 폭스바겐코리아는 폭스바겐 첫 순수 전기 SU..",04/26,0,885
"쌍용차 노조 ""고통분담 할것…임금삭감·구조조정만 대안 아냐""","정일권 노조위원장 여의도 국회의사당 앞 1인시위
 
1인시위하는 정일권 쌍용차 노조위원장[촬영 권희원]
 
(서울=연합뉴스) 권희원 기자 = 쌍용자동차 노동조합이 ..",04/26,0,1285
"벤츠트럭, 300km 가는 대형 전기트럭 ‘e악트로스’ 연내 출시","독일 물류기업서 현장 테스트로 가치 증명4톤 넘는 화물 싣고 하루 최장 300㎞ 운행5만km 주행 동안 10만개 넘는 화물 운반
 

 
세계 최초의 상용화 대형 ..",04/26,1,943
"현대차 사무직노조 설립신고서 제출…""투명성·공정성 높일 것""","비정규직·계약직도 가입 허용…회사별 지부 설립
 
현대차그룹 사무직 노조 설립신고서 제출[대상노무법인 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스) 권희원 기..",04/26,0,328
"판교서도 자율차 달린다…국토부, 시범운행지구 추가 지정","유상 서비스 실증 위한 규제 특례 적용…올 하반기 실증 착수
 

판교 자율차 시범운행지구 노선
[국토교통부 제공. 재판매 및 DB 금지]
 
(서울=연합뉴스)..",04/26,0,206
